No,,Plnt,Loca,Description,Material,Material Description,BUn,Jumlah SAP,,Ceklis,Keterangan,Harga SAP
191,,E451,SR01,Main Store,4400019262,"LND,LANDINI,KIT ( FUEL FILTER ) 26560201",PCS,4,,,,"1,008,014"
192,,E451,SR01,Main Store,4400025286,"KUB,B700,ELEMENT AIR FILTER 366-06227",PCS,4,,,,"3,260,000"
193,,E451,SR01,Main Store,4400032566,"MEC,GNRL M,HOOK SPARNER 69696",PCS,4,,,,"8,000,000"
194,,E451,SR01,Main Store,4400045360,"TYRE,TRACTOR,13.00-24",PCS,4,,,,"21,984,000"
195,,E451,SR01,Main Store,4400045372,"TYRE,TRUCK,700-15",PCS,4,,,,"3,868,000"
196,,E451,SR01,Main Store,4400045576,"TUBE,TRACTOR,12.4-24",PCS,4,,,,"1,360,000"
197,,E451,SR01,Main Store,4400045585,"TUBE,TRACTOR,18.4-30",PCS,4,,,,"2,172,000"
198,,E451,SR01,Main Store,4400049488,"MEC,TYRES,TUBE 8.3-24",PCS,4,,,,"1,240,000"
199,,E451,SR01,Main Store,4400052305,"TYRE,265/65-17 PSR D674",PCS,4,,,,"8,913,920"
200,,E451,SR01,Main Store,4400052483,"KUB,MX5100,BALL BEARING 0810106208",PCS,4,,,,"1,133,200"
201,,E451,SR01,Main Store,4400058420,"MEC,HOSE,HOSE ASSY 1/2 R2 300 CM",PCS,4,,,,"1,156,000"
202,,E451,SR01,Main Store,4400059438,"KOM,GD511A-1,CHAIN ASSY 23A-23-11-500",PCS,4,,,,"10,600,000"
203,,E451,SR01,Main Store,1600012173,"SAFETY, SEPATU KULIT MODEL BOOT",EA,3,,,,"907,176"
204,,E451,SR01,Main Store,4400000837,"MEC,VLV,VALVE 0.5""",PCS,3,,,,"7,500,000"
205,,E451,SR01,Main Store,4400002022,"MITS,PS120,ELEMENT FUEL FILTER ME 006066",PCS,3,,,,"176,299"
206,,E451,SR01,Main Store,4400002931,"FORD,558D,YOKE E0NN-A918-AA",PCS,3,,,,"3,144,300"
207,,E451,SR01,Main Store,4400003330,"MEC,ACCU,BATTERY 12V 100AH GS",PCS,3,,,,"5,100,000"
208,,E451,SR01,Main Store,4400003614,"MITS,PS120,LEAF SPRING RR NO 4",PCS,3,,,,930
209,,E451,SR01,Main Store,4400003822,"MITS,PS120,SHAFT AXLE 42311-3550",PCS,3,,,,"3,171,429"
210,,E451,SR01,Main Store,4400005391,"FORD,6640,5177708 SEAL",PCS,3,,,,"780,857"
211,,E451,SR01,Main Store,4400005890,"FORD,6640,DRAW BAR B0NN-805-AC",PCS,3,,,,"5,735,136"
212,,E451,SR01,Main Store,4400007331,"FORD,6640,RIM DW 82013156",PCS,3,,,,"18,271,800"
